iter	Passed	Remaining
0	2135	211444
1	4271	209285
2	6436	208117
3	8656	207757
4	10840	205967
5	13027	204096
6	15183	201724
7	17345	199478
8	19515	197326
9	21704	195339
10	23832	192824
11	26026	190859
12	28258	189111
13	30293	186087
14	32438	183819
15	34595	181628
16	36674	179058
17	38872	177085
18	40998	174782
19	43184	172737
20	45346	170590
21	47609	168796
22	49700	166388
23	51845	164177
24	54011	162034
25	56264	160136
26	58461	158061
27	60705	156098
28	62862	153903
29	65029	151734
30	67225	149630
31	69385	147443
32	71528	145224
33	73641	142951
34	75761	140699
35	77860	138419
36	79941	136117
37	82028	133836
38	84183	131671
39	86334	129501
40	87792	126335
41	89977	124254
42	92218	122243
43	94547	120333
44	96747	118247
45	98861	116054
46	101027	113924
47	103287	111895
48	105502	109808
49	107863	107863
50	110100	105782
51	112234	103601
52	114442	101487
53	116635	99356
54	118798	97198
55	120883	94979
56	123208	92946
57	125371	90786
58	127574	88653
59	129751	86501
60	131961	84368
61	134138	82214
62	136310	80055
63	138509	77911
64	140692	75757
65	142866	73598
66	145040	71438
67	147181	69261
68	149331	67090
69	151613	64977
70	153748	62798
71	155944	60645
72	158180	58505
73	160293	56319
74	162480	54160
75	164640	51991
76	166849	49838
77	169115	47699
78	171275	45529
79	172340	43085
80	174081	40833
81	176313	38702
82	177775	36411
83	178498	33999
84	179569	31688
85	180612	29402
86	182020	27198
87	184151	25111
88	186290	23024
89	187713	20857
90	190006	18791
91	192258	16718
92	194397	14632
93	196557	12546
94	198534	10449
95	199236	8301
96	201356	6227
97	203584	4154
98	205824	2079
99	206902	0
