iter	Accuracy	MultiClass
0	0.6292395094	2.338338876
1	0.6375539463	2.221246172
2	0.6357313535	2.125103958
3	0.637444225	2.043316087
4	0.6362007168	1.97255431
5	0.6424426401	1.909582482
6	0.6385475337	1.854422692
7	0.6394862605	1.803970984
8	0.6433021237	1.758401218
9	0.6432777412	1.717007337
10	0.643673957	1.67876371
11	0.6438202521	1.643975307
12	0.6437775827	1.611752698
13	0.643789774	1.581901974
14	0.643838539	1.553969687
15	0.6439177822	1.52767565
16	0.6437714871	1.503461341
17	0.6437775827	1.480818526
18	0.6437227221	1.459505755
19	0.6438629215	1.438453039
20	0.6439177822	1.419009357
21	0.6439604516	1.401495282
22	0.644051886	1.384869983
23	0.6439360691	1.368921826
24	0.6439909297	1.353820733
25	0.6439787384	1.339614261
26	0.6439848341	1.326136992
27	0.6439543559	1.313046205
28	0.6439726428	1.300675065
29	0.6439604516	1.28912689
30	0.6439848341	1.27817804
31	0.6440092166	1.26738254
32	0.6439970253	1.257186751
33	0.6440579816	1.247328392
34	0.644003121	1.238028151
35	0.6440214078	1.229419451
36	0.6439665472	1.220900227
37	0.6441677029	1.212837182
38	0.6442164679	1.205336322
39	0.6442957111	1.198119841
40	0.6443079024	1.191002068
41	0.6443261893	1.18393178
42	0.6443871455	1.177413218
43	0.6444054324	1.171502375
44	0.6444298149	1.165708161
45	0.6444298149	1.160243246
46	0.6445517275	1.155180955
47	0.6445395362	1.150060812
48	0.6445334406	1.14546619
49	0.6448747958	1.139940495
50	0.6450576646	1.134544303
51	0.6452100553	1.129614666
52	0.6453441592	1.124853985
53	0.6454416892	1.120432765
54	0.6455453149	1.116278847
55	0.6456733231	1.112541202
56	0.6457464706	1.108459557
57	0.645740375	1.104692364
58	0.6458440007	1.100869183
59	0.6459232438	1.097609563
60	0.6459171482	1.094385378
61	0.645953722	1.090744819
62	0.645904957	1.088052208
63	0.6459415307	1.085172302
64	0.6459354351	1.082651489
65	0.646002487	1.080016721
66	0.6461365908	1.077470065
67	0.646215834	1.074846619
68	0.6462097384	1.072871351
69	0.646264599	1.070757892
70	0.6464108941	1.068465419
71	0.6466242411	1.066535116
72	0.646593763	1.064763169
73	0.6466730061	1.062655165
74	0.6468741619	1.060736018
75	0.6469229269	1.058904646
76	0.6469168312	1.057490481
77	0.6469412138	1.056135925
78	0.6469473094	1.054777594
79	0.6469229269	1.053478758
80	0.6469229269	1.052301671
81	0.6469351181	1.051157401
82	0.64690464	1.050083778
83	0.6469595006	1.048942662
84	0.6469351181	1.047950482
85	0.6469777875	1.046814321
86	0.6470265526	1.045441113
87	0.6471423695	1.044432892
88	0.6472703777	1.043372811
89	0.6473008558	1.042484458
90	0.6473557165	1.041642162
91	0.6474166728	1.040762534
92	0.6473922902	1.039994768
93	0.6474410553	1.039196027
94	0.6474044815	1.03847423
95	0.6473861946	1.037776797
96	0.6473922902	1.03714973
97	0.6474471509	1.036463912
98	0.6474959159	1.035451421
99	0.6475873504	1.034892634
