iter	Accuracy	MultiClass
0	0.6359934655	1.399342706
1	0.6386877332	1.261245824
2	0.6398459025	1.18518495
3	0.6408638724	1.133824111
4	0.6411808451	1.103377154
5	0.6427839953	1.079814177
6	0.6448869871	1.060387595
7	0.6453075854	1.050864117
8	0.6454599761	1.044310573
9	0.6457098969	1.039781249
10	0.6461548777	1.033227182
11	0.6478616536	1.030530102
12	0.6482639651	1.028284532
13	0.649854924	1.024934197
14	0.6493855607	1.021238492
15	0.6493307	1.02044383
16	0.6496598639	1.019348085
17	0.6499951235	1.018714181
18	0.6501414186	1.017448682
19	0.6503060005	1.016913463
20	0.6505254432	1.016367588
21	0.6505193475	1.016230263
22	0.6506290688	1.015967783
23	0.6508607027	1.015474061
24	0.6508789896	1.015199226
25	0.6509521371	1.014516628
26	0.6550423037	1.006105814
27	0.6551032599	1.004845424
28	0.6556701534	1.003711581
29	0.655676249	1.00349041
30	0.6557311096	1.003414769
31	0.6566576451	1.001501823
32	0.6566515495	1.001277882
33	0.6567003145	1.001228657
34	0.6567003145	1.00088327
35	0.6568344184	1.000429862
36	0.6572062517	1.000167673
37	0.6570477653	0.9998324713
38	0.6573952162	0.9922472338
39	0.6575841806	0.9912809004
40	0.6575841806	0.990324501
41	0.65762685	0.9900161383
42	0.6576573282	0.9896203662
43	0.6577182844	0.989358148
44	0.6582486041	0.9882202633
45	0.6585411943	0.9867653034
46	0.6586448199	0.9863489543
47	0.6588520713	0.9858137049
48	0.6589252188	0.9852223864
49	0.6588581669	0.9849598289
50	0.6588033063	0.9847295996
51	0.6589069319	0.984275075
52	0.6589800795	0.9838151993
53	0.6590227489	0.9834812234
54	0.6595347817	0.9823862678
55	0.6597725112	0.9816842239
56	0.6601077707	0.9802972992
57	0.660382074	0.9799395703
58	0.6606015166	0.9796120952
59	0.6605344647	0.9793303067
60	0.6606563772	0.9791604222
61	0.6606015166	0.9788597661
62	0.6604735084	0.9781598236
63	0.6605466559	0.9780698065
64	0.6608453417	0.9776620234
65	0.6610952625	0.9773164603
66	0.6610647843	0.9770219395
67	0.6610769756	0.9767967598
68	0.6610160193	0.9767127287
69	0.6610221149	0.9765765031
70	0.6611866969	0.976400073
71	0.6612598444	0.9762114915
72	0.6614670958	0.976076798
73	0.6615158608	0.9758441462
74	0.6616987297	0.9752951148
75	0.6618815985	0.9751246038
76	0.6619181723	0.9747337554
77	0.6620766586	0.9744196764
78	0.662070563	0.9741409464
79	0.6621132324	0.9739172625
80	0.6622046668	0.9736664946
81	0.662235145	0.9734532531
82	0.6623143881	0.9733058683
83	0.6623265794	0.9730122127
84	0.6623143881	0.9727255802
85	0.6623448663	0.9725635063
86	0.6623509619	0.9724606285
87	0.6624606832	0.9723151619
88	0.6626008826	0.9719757526
89	0.6626862214	0.9719000698
90	0.662643552	0.9716753973
91	0.6626618389	0.9715013687
92	0.6626130739	0.9711242533
93	0.6626984127	0.9708380472
94	0.6626801258	0.9706922738
95	0.6626862214	0.9704846319
96	0.6628386121	0.97029957
97	0.6628447078	0.9702634588
98	0.6629483335	0.9700648808
99	0.6628934728	0.9699174363
