iter	Passed	Remaining
0	1352	133935
1	2963	145201
2	4385	141794
3	5854	140503
4	7456	141670
5	9111	142742
6	10728	142537
7	12867	147978
8	15082	152501
9	17538	157845
10	20052	162241
11	22587	165643
12	25375	169821
13	28738	176537
14	31744	179885
15	34253	179831
16	36808	179711
17	39234	178736
18	41728	177893
19	44064	176256
20	46468	174809
21	47698	169113
22	50183	168005
23	52654	166739
24	55188	165564
25	57629	164023
26	60058	162380
27	62389	160429
28	64707	158422
29	67053	156459
30	69420	154515
31	72476	154012
32	75222	152725
33	77716	150861
34	80205	148952
35	82688	147001
36	85261	145175
37	87656	143018
38	90072	140882
39	92458	138687
40	94871	136522
41	97182	134204
42	99638	132078
43	102036	129864
44	104421	127626
45	106770	125339
46	109079	123004
47	111398	120681
48	113765	118408
49	116098	116098
50	118408	113764
51	120697	111413
52	123048	109118
53	125314	106749
54	127569	104375
55	130007	102148
56	132381	99866
57	134710	97548
58	137057	95243
59	139577	93051
60	141968	90766
61	144341	88467
62	146864	86253
63	149336	84001
64	151612	81637
65	153954	79309
66	156257	76962
67	158531	74603
68	160831	72257
69	163166	69928
70	165483	67591
71	167777	65246
72	170093	62911
73	172338	60551
74	174615	58205
75	176880	55857
76	179150	53512
77	181394	51162
78	183678	48825
79	186029	46507
80	188433	44200
81	190936	41912
82	193576	39648
83	196419	37413
84	198759	35075
85	201170	32748
86	203525	30411
87	205845	28069
88	208165	25728
89	210749	23416
90	213035	21069
91	215396	18730
92	217696	16385
93	220124	14050
94	222458	11708
95	224732	9363
96	226975	7019
97	229317	4679
98	231622	2339
99	233929	0
